,_runtime,_step,_timestamp,_wandb,lr_group_0,train_loss,val_accuracy,val_loss,lr,betas,epochs,base_lr,batch_size,wandb_name,fix_embed_lr,lr_scheduler,weight_decay,collect_norms,wandb_project,fix_weight_decay,max_steps_per_epoch,lr_scheduler_warmup_frac,name,best_val_loss,best_train_loss,muP,dim
135,1419.715728037,2930,1731403005.3802483,{'runtime': 1419},0.0,3.0147409439086914,0.237899050116539,5.331319808959961,0.001953125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.001953125,True,cosine,0.01,False,mup-transformer-training,True,-1,0.03,transformer_traintest_width_2048_muP+fixRMS+fixEmbedLR+fixUnembed+fixWD_lr_0.001953125,5.254140853881836,2.748215675354004,muP+fixRMS+fixEmbedLR+fixUnembed+fixWD,2048
136,1396.427347135,2930,1731403083.8895185,{'runtime': 1396},0.0,3.937845468521118,0.22726057469844815,5.433797359466553,0.001953125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_muP_lr_0.001953125,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_2048_muP_lr_0.001953125,5.398210048675537,3.595601797103882,muP,2048
137,1411.57993531,2930,1731403125.1048856,{'runtime': 1411},0.0,2.914667844772339,0.2355452924966812,5.33543586730957,0.001953125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.001953125,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_2048_muP+fixRMS+fixEmbedLR+fixUnembed_lr_0.001953125,5.263328552246094,2.772249460220337,muP+fixRMS+fixEmbedLR+fixUnembed,2048
138,1377.274460519,2930,1731403147.787541,{'runtime': 1377},0.0,3.817852258682251,0.235780268907547,5.386013984680176,0.001953125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_muP+fixRMS+fixEmbedLR_lr_0.001953125,True,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_2048_muP+fixRMS+fixEmbedLR_lr_0.001953125,5.343862533569336,3.74798583984375,muP+fixRMS+fixEmbedLR,2048
139,1392.370887289,2930,1731403257.5701878,{'runtime': 1392},0.0,4.6326422691345215,0.2267744243144989,5.559723854064941,0.001953125,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_2048_muP+fixRMS_lr_0.001953125,False,cosine,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_2048_muP+fixRMS_lr_0.001953125,5.535676002502441,4.440009593963623,muP+fixRMS,2048
140,169.50742917,2930,1731402236.413193,{'runtime': 169},0.0009765625,3.850079298019409,0.23879435658454895,5.489503860473633,0.0009765625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_std_lr_0.0009765625,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_256_std_lr_0.0009765625,5.392376899719238,3.4497110843658447,std no scheduler,256
141,286.272463564,2930,1731402545.6862428,{'runtime': 286},0.0009765625,4.140598773956299,0.2375870943069458,5.488407135009766,0.0009765625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_std_lr_0.0009765625,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_512_std_lr_0.0009765625,5.413721084594727,3.537041187286377,std no scheduler,512
142,581.700020798,2930,1731403151.227803,{'runtime': 581},0.0009765625,6.0399580001831055,0.16656538844108582,6.220731735229492,0.0009765625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_1024_std_lr_0.0009765625,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_1024_std_lr_0.0009765625,6.217621326446533,5.331042289733887,std no scheduler,1024
143,182.423275058,2930,1731402984.3151476,{'runtime': 182},0.00390625,4.6254987716674805,0.22440852224826813,5.5378804206848145,0.00390625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_256_muP_lr_0.00390625,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_256_muP_lr_0.00390625,5.5378804206848145,4.304078102111816,muP no scheduler,256
144,293.478723826,2930,1731403305.990022,{'runtime': 293},0.001953125,4.217349052429199,0.22521471977233887,5.5360026359558105,0.00390625,"[0.9, 0.99]",5,0.001,16,transformer_traintest_width_512_muP_lr_0.00390625,False,,0.01,False,mup-transformer-training,False,-1,0.03,transformer_traintest_width_512_muP_lr_0.00390625,5.5360026359558105,4.127382278442383,muP no scheduler,512
